student_id,student_name,class,subject,score,grade,test_date,remarks
119,Ryia,Grade 7,Science,95.0,A,2023-11-24,Needs Improvement
120,Arjun,Grade 7,Computer Science,,B-,2023-01-22,Average
121,Ling,Grade 7,Computer Science,65.0,F,2023-01-16,
122,Liam,Grade 7,English,45.0,A-,2023-01-09,
123,Ira,Grade 9,Math,45.0,A+,2023-02-26,
124,Hana,Grade 9,Physical Education,,B+,2023-03-11,
125,Navya,Grade 8,History,65.0,B-,2023-01-27,Needs Improvement
126,Ava,Grade 10,Math,100.0,A,2023-04-02,Good
127,Anika,Grade 6,Art,95.0,B+,2023-03-05,Good
128,Krishna,Grade 9,Math,,C,2023-05-20,
129,Ishaan,Grade 6,Art,65.0,B,2023-12-10,Good
130,Noah,Grade 6,English,65.0,NA,2023-06-30,Excellent
131,Diya,Grade 7,Physical Education,,A+,2023-09-30,Good
132,Fatima,Grade 6,Science,,C-,2023-10-15,Needs Improvement
133,Ava,Grade 7,Math,65.0,NA,2023-11-17,Good
134,Elijah,Grade 9,Math,,A-,2023-06-19,Average
135,Olivia,Grade 10,Math,85.0,F,2023-10-07,Needs Improvement
136,Lucas,Grade 9,Computer Science,45.0,NA,2023-11-17,Needs Improvement
137,Aadhya,Grade 6,History,75.0,C+,2023-02-07,Good
138,Aditya,Grade 8,Art,75.0,C+,2023-12-14,Good
139,Navya,Grade 8,English,75.0,A+,2023-09-29,
140,Vivaan,Grade 8,Computer Science,100.0,A-,2023-06-19,
141,Mia,Grade 8,Computer Science,55.0,C+,2023-07-01,Average
142,Aditya,Grade 6,Art,85.0,NA,2023-05-12,Needs Improvement
143,Anika,Grade 9,Math,65.0,A+,2023-03-21,Needs Improvement
144,Aditya,Grade 10,Geography,65.0,C-,2023-03-29,Good
145,Sophia,Grade 8,Science,,A-,2023-06-13,Excellent
146,Mahi,Grade 10,Computer Science,100.0,D,2023-08-31,Excellent
147,Yuki,Grade 6,Physical Education,,B-,2023-02-01,Excellent
148,Krishna,Grade 6,English,75.0,F,2023-05-07,Needs Improvement
149,Hana,Grade 7,Art,,B-,2023-01-09,Needs Improvement
150,Elijah,Grade 8,Math,,B-,2023-12-18,Average
151,Noah,Grade 6,English,,B-,2023-02-19,Good
152,Mia,Grade 10,English,,D,2023-07-29,
153,Amina,Grade 7,Physical Education,45.0,F,2023-01-05,
154,Ishaan,Grade 7,English,45.0,A+,2023-02-05,Excellent
155,Riya,Grade 9,Computer Science,,D,2023-04-17,Good
156,Anika,Grade 7,Computer Science,85.0,B,2023-01-13,Needs Improvement
157,Yuki,Grade 7,Math,,C+,2023-04-04,Excellent
158,Aarav,Grade 6,Geography,45.0,D,2023-02-17,Good
159,Anika,Grade 8,Computer Science,45.0,A+,2023-09-24,Good
160,Chen,Grade 7,Art,65.0,B,2023-02-06,
161,Ryia,Grade 10,English,85.0,F,2023-07-10,Excellent
162,Diego,Grade 7,Physical Education,,A-,2023-08-16,Excellent
163,Myra,Grade 9,English,75.0,F,2023-02-03,Good
164,Riya,Grade 7,Geography,,C,2023-02-24,Good
165,Myra,Grade 9,Computer Science,75.0,A,2023-03-13,
166,Ryia,Grade 10,Geography,95.0,F,2023-12-12,Needs Improvement
167,Mahi,Grade 6,English,,C+,2023-01-25,
168,Elijah,Grade 7,English,75.0,C+,2023-11-21,Average
169,Aditya,Grade 7,Physical Education,,C+,2023-07-24,
170,Vivaan,Grade 8,Physical Education,55.0,B+,2023-01-16,Excellent
171,Mohammed,Grade 9,Physical Education,75.0,A-,2023-06-02,Needs Improvement
172,Chen,Grade 9,Art,65.0,D,2023-01-26,Excellent
173,Diego,Grade 9,Art,75.0,D,2023-09-24,Good
174,Mahi,Grade 7,Geography,95.0,B,2023-07-22,Average
175,Olivia,Grade 6,Math,45.0,C,2023-04-16,Good
176,Vihaan,Grade 10,Computer Science,,F,2023-09-28,Needs Improvement
177,Anaya,Grade 9,Science,95.0,B,2023-01-31,Average
178,Yuki,Grade 7,Physical Education,95.0,B-,2023-05-03,Excellent
179,Sofia,Grade 10,Art,65.0,B-,2023-05-11,Good
180,Chen,Grade 8,Geography,75.0,C+,2023-02-03,
181,Sophia,Grade 6,Science,45.0,A,2023-02-23,Average
182,Sofia,Grade 8,History,95.0,A,2023-03-03,Excellent
183,Elijah,Grade 9,English,45.0,A,2023-12-31,Average
184,Ryia,Grade 6,History,95.0,B-,2023-11-10,Excellent
185,Arjun,Grade 6,Math,55.0,A+,2023-07-19,
186,Navya,Grade 7,History,,B-,2023-11-14,Needs Improvement
187,Liam,Grade 6,Science,45.0,A,2023-11-10,Good
188,Emma,Grade 10,English,65.0,NA,2023-07-17,
189,Liam,Grade 9,Computer Science,100.0,C-,2023-06-29,Average
190,Ryia,Grade 6,English,,C,2023-07-17,Needs Improvement
191,Vihaan,Grade 9,Computer Science,,NA,2023-05-24,Average
192,Mohammed,Grade 6,Geography,,B,2023-08-18,
193,Aadhya,Grade 7,Science,95.0,B-,2023-07-01,Excellent
194,Sofia,Grade 7,Geography,45.0,C,2023-05-22,Needs Improvement
195,Noah,Grade 7,Physical Education,95.0,C+,2023-12-10,Needs Improvement
196,Sai,Grade 9,English,75.0,D,2023-07-20,Good
197,Anaya,Grade 7,Physical Education,,C-,2023-11-15,Excellent
198,Mohammed,Grade 10,History,100.0,B-,2023-03-14,
199,Sai,Grade 8,Science,100.0,B,2023-10-01,Needs Improvement
200,Mia,Grade 7,English,65.0,B,2023-02-13,Excellent
113,Sophia,Grade 6,English,,D,2023-12-19,Needs Improvement
30,Chen,Grade 8,Physical Education,,C+,2023-03-19,
183,Elijah,Grade 9,English,45.0,A,2023-12-31,Average
200,Mia,Grade 7,English,65.0,B,2023-02-13,Excellent
194,Sofia,Grade 7,Geography,45.0,C,2023-05-22,Needs Improvement
